"","titles","names","dates","ratings","reviews"
"1"," Perfect!
","carlos-grant","28 March 2012","
            
            10/10
            
    ","
                This movie and the whole trilogy deserves all the praise it has received.I had been worried about seeing it because of how much Peter Jackson re-wrote ""Two Towers"" and presented scenes that undermined some of Tolkien's fundamental ideas. This time, Jackson followed Tolkien more closely and the worst that can be claimed are sins of omission. It's a real shame we didn't get to see Christopher Lee in this move; he totally rocked in the previous films. Telling us to wait for the ""extended"" version isn't right. Maybe Jackson should have foregone one of the too many endings in ROTK to give Lee some film time. That said, all the elements that worked in the previous movies were absolutely glorious in this film. The one new thing that I would add to so much that has already been written is that big kudos must go to the great Tolkien artists Alan Lee and John Howe whose artistry shaped so much of the imagery from the first moments of FOTR to the final scenes of ROTK. This historic trilogy would not have been the same without them. The LOTR enterprise has clearly been a great labor of love from all who worked on it over the years, and this final installment was a crowning achievement.
                
                    13 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"2"," The epic conclusion to one of the greatest film trilogies of all time
","cricketbat","4 February 2020","
            
            10/10
            
    ","
                The Return of the King is an impressive film because it wraps up the Lord of the Rings trilogy in a way that is satisfying for both fans of the books and those who have only seen the movies. This finale is a rollercoaster of emotions, with impressive sets, elaborate costumes, and eye-popping visual effects. The Lord of the Rings was already a great novel, but it has now become one of the greatest film trilogies ever made.
                
                    8 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"3"," The film is transgressive, innovative, and not afraid to take over as the definitive work of recognized worldwide work of Tolkien
","fernandoschiavi","11 March 2015","
            
            10/10
            
    ","
                The Return of the King comes to the big screens worldwide in 2003 evoking the most diverse types of feelings: sadness, joy, delight and satisfaction are some of them. After two adaptations that have shocked the world with its grandeur, director Peter Jackson presents fans around the world with a performance worthy of applause and bows certainly will miss and leave an empty feeling in the mind of anyone who likes movies. Peter Jackson had the challenge of overcoming the stigma that the end of trilogies are always inferior and never meet the expectations of fans. Thus, citing some examples, The Matrix Revolutions, also released in 2003, Star Wars: Return of the Jedi and Back to the Future 3. The fear of not overcome the previous growing further because The Two Towers have been a landmark in special effects and maintained the same level of quality The Fellowship of the Ring. Fortunately, Jackson has not only surpassed their predecessors, they created probably the greatest fantasy film in cinema history, an epic beyond compare proportions and practically unattainable.In The Return of the King, the action is raised to four points that will interconnect in a spectacular finale. Frodo, Sam and Gollum are heading toward the mountain of doom. Gandalf and Pippin help in preparing the defense of Minas Tirith, Merry joins the army of the horsemen of Rohan who will prepare for the ultimate battle. Aragorn, Gimli and Legolas are in search of help that may be decisive in the battle against Sauron. The scenarios and events are magnified and more majestic. The various passages for those who read the books will come to life: Minas Tirith, capital of Gondor, Aragorn entering the Paths of the Dead; battle where Faramir is seriously injured, the Battle of the Pelennor Fields, the opening of the Black Gate, the Tower of Cirith Ungol, Mount Doom, the Chambers of Fire, to help the Eagles against Sauron's armies, the destruction of the Ring and the defeat of Sauron, the Return of the King of Gondor with Elvish name Elessar and his marriage to Arwen that preferred to live a mortal life alongside his love, The Grey Havens, etc.The Return of the King, however, has excesses in your script. Probably due to the pace and duration, Jackson decided to remove some passages from The Two Towers and insert them in The Return of the King, further increasing the duration of the latter film, leaving you with 201 min long version released in theaters. Apart from scene to increase the length of the already quite long film differs from other facts book and technically, the film is almost perfect and became the record holder by winning the Oscar 2004, 11 of the 11 nominations received statuettes at the awards, equaling in number of awards only to Titanic (1997) director James Cameron and Ben-Hur ( 1959) director William Wyler, who have the same amount of premiums. Won awards for best art direction, costume design, editing, makeup, soundtrack, original music for the song ""Into the West"", sound, visual effects, adapted screenplay, direction and best film.The visual effects are still tasteful and make a junction between actual filming practically perfect computer-generated. The scene of the Battle of the Pelennor Fields, fought outside the walls of Minas Tirith, is the greatest example of this. Probably that's the longest streak of battles ever held in the cinema,The cast can once again have great performances. And when Peter Jackson said in interviews that the first two films were preparing for this end, he was not kidding. Its direction is the major difference and that is what makes movies differentiate themselves from other similar launched later worried only with the battles, and not with the feelings of the characters and their motivations. Again with beautiful general plans, stretches with use of slow motion and camera movements unthinkable, the director explores all too well the natural environment and which was built by art director for the shoot. The New Zealand ties all the stories parallel so that everything can be solved simultaneously. But The Return of the King is not just a fantasy film with effects, and he cares to enlarge tensions, hesitations, internal struggles, motivations of the protagonists involved. The key of this third part is mainly in the hands of Aragorn and Frodo. Aragorn have to return to Gondor and take the place it is right and lead the resistance against the enemy threat, including having to collect a debt from the past. Here it is Frodo, is increasingly tempted by the ring which carries this internal conflict and leads to the last moment when you are about to destroy it.But Jackson increases even more the importance of Sam, showing all his courage and fidelity to the hobbit friend so he can achieve his goal. Jackson still has other moments of pure wisdom and sensitivity amid such scenes of war exhaustive. For example, when Denethor sends Faramir (David Fenham) on a suicide mission, asking then to Pippin sing a song while you eat something. Jackson then makes the viewer watch the scene Squad Faramir being massacred while listening Pippin at the request of Denethor, sings a sad song. The Return of the King is a masterpiece of cinema magnanimous and impassable. Is beyond reproach and is practically a unanimous vote of the seventh art and has everything that an overproduction epoch must have. We have a script respectful of the original work, interpreters' unquestionable quality and revolutionary teams ahead of all technical teams. The film is transgressive, innovative, and not afraid to take over as the definitive work of recognized worldwide work of Tolkien. Is left longing and buy all the extended versions to always have a Middle-earth in our hands to be visited at any time.
                
                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"4"," The perfect ending for a great trilogy!
","Boba_Fett1138","30 April 2005","
            
            10/10
            
    ","
                Wow, what a movie! It's not only the best of ""The Lord of the Rings"" trilogy, it also is one of the best movies of the past couple of years.""The Lord of the Rings: The Return of the King"" is a totally spectacular movie. It has some of the most amazing battle scene's in movie history. The word spectacular isn't good enough to describe it, it's breathtaking, epic and emotional involving. Who didn't wanted to pick up a sword and shield and charge with Aragorn towards a large number of Orcs for honor and glory?Even though the special effects are far from the best ever, Peter Jackson is a master in mixing the special effect with real life action. The use of it never feels overdone and the result is spectacular as well as believable.I think lot's of people were worried after ""The Lord of the Rings: The Two Towers"" after seeing the battle of Helm's Deep. How was Peter Jackson ever going to top that great battle? Well, with ""The Lord of the Rings: The Return of the King"" he topped it alright! The battle for Middle Earth is something you've never seen before. Greatest moment was when the riders of Rohan charged, it was really a moment in which you felt the true meaning of fighting and dying with honor. Also great moment during the immensely large battle were the fights against the oliphaunts, just when you thought the battle was over, those large creatures appeared! Really great moment.The characters are possibly at their best in this movie. No characters need introductions anymore and we get to see the deepest of their emotions in this movie, even Gollum's!Still the movie is not really deserving to be third in the top 250 here on IMDb.com. It's also not really deserving all those Oscar's it won. Like all The Lord of the Rings movies, it's great, spectacular and absolutely breathtaking at times but not classic masterpieces in my book.Also the movie is far from flawless. Once again the editing is just poor at times and what was with the ending? Couldn't they just think of one ending? I expected the end credits to start rolling multiple times during the ending but it just went on and on.Despite some of those flaws it still is an excellent movie with some unforgettable battle's sequence's. Truly a wonderful ending for one of the greatest movie trilogies in history.10/10http://bobafett1138.blogspot.com/
                
                    26 out of 36 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"5"," The end of an era
","zlx_zjlq","24 March 2020","
            
            10/10
            
    ","
                A Blu-ray extended version for almost four and a half hours. The scene of the war is still magnificent. It is Frodo's luck to have a good friend like Sam. Gandalf is still otherworldly and holy. The last part of the play makes my eyes wept. This is the end of the epic blockbuster and an era. But classics will become eternal.
                
                    9 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"6"," What a finale!
","AnnaPagrati","30 August 2021","
            
            10/10
            
    ","
                Simply magnificent! The production is just breath-taking!
                
                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"7"," This franchise shaped me to the man i am today.
","voltage10-220-804025","7 August 2019","
            
            10/10
            
    ","
                After finishing my 100th (give or take) time watching the entire trilogy I'd figured a review was long overdue. There are no words for what i feel about this trilogy. It's beyond anything i can explain. The closest word would be perfection, but that doesn't even do it justice.I was 11 when the first movie came out, and i fell in love with the franchise immediately. Everything i did revolved around the fantasy universe as this franchise was the first big thing i truly fell in love with. I have pictures of elves on my walls and dragon statues on my shelfs. I have Sting hanging on my wall and my key chain for my car keys is the One Ring. My wife has the evening star and she wore it at our wedding. Lord of the rings has made me to who i am today and i feel privileged to have such a masterpiece be created in my short span on this earth!I love Fellowship of the Ring and Two Towers, but Return of the King is the final piece that brings everything together. I'm usually a pretty tough guy, and i rarely get emotional but the last hour is hard for me to sit through without shedding a tear. No matter how many times i watch the franchise i always get emotional. ""My friends. You bow to no one!"" gets me every time!The last thing I'd like to ad is that i feel like I'm a part of the journey. I feel sorta empty after watching it. I feel like all of the hobbits when they come back home and drinks their first pints at The Green Dragon. It's one of the movies where i sit through the end credits and just think. This is a good thing. You know a movie is extraordinary if it makes you empty after you've watched it!
                
                    100 out of 105 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"8"," one movie to rule them all
","Tyson14","18 January 2015","
            
            10/10
            
    ","
                Peter Jackson's epic adaptation of ""Lord of the Rings"" reaches its pinnacle in ""Return of the King."" The stellar cast, mind-blowing special effects and heartbreaking script are all present in the third movie, which is not only the last of the ""Lord of the Rings"" films, but the best.Frodo (Elijah Wood) and Sam (Sean Astin) are still following the treacherous Gollum (Andy Serkis) on the path to Mordor, with the increasingly strained Frodo unaware that Gollum is sowing suspicion between the two best friends. By the time he realises his mistake, he's been dragged into the lair of Shelob, a monstrous spider, and then abducted by orcs who want the Ring he carries. Determined to find his friend, Sam heads into an orc citadel...Meanwhile, Gandalf (Ian McKellen) takes Pippin (Billy Boyd) with him to Minas Tirith, after the hobbit has a close encounter with Sauron through a palantir. \Not only is the city under siege, but the Steward Denethor is slowly going insane, even sending his one remaining son, Faramir (David Wenham), on a suicide mission to reclaim a dead city. With Minas Tirith crumbling, Aragorn's (Viggo Mortensen) only hope may to be summon an army of the dead, who will only obey the King of Gondor. But even the dead won't help him if Frodo doesn't destroy the Ring...The ""Lord of the Rings"" trilogy is one of those once-in-a-lifetime movie experiences. There has never been anything quite like it in movie history, and there probably never will be again. It seems somehow fitting that the book that every other fantasy has to measure up to, has now become a sweeping cinematic triumph that actually stays halfway loyal to the books. Good things come to fans who wait, I guess.Peter Jackson really outdoes himself. You know those battle scenes in ""Two Towers"" and ""Fellowship of the Ring,"" with the swooping camera and thousands of orcs, clashing with men on a gloomy battlefield? In ""Return of the King,"" Jackson surpasses that. There's everything from volcanic eruptions to an invasion of howling ghosts to the attack of the oliphaunts (like elephants, only bigger). Each action scene a shattering ride, and there's no guarantee that all the beloved characters will make it out alive. Some of them don't.But if Jackson manages the epic battles well, he does an even better job with the gentler, quieter moments. The action slows down, and the characters take a moment to support and comfort each other. They cry, they hug, they think about home -- such as Gandalf comforting the frightened Pippin with a description of the afterlife. Jackson and his fellow screenwriters Fran Walsh and Phillippa Boyens throw themselves into the semi-formal language of Tolkien's world, resculpting Tolkien's words into equally rich movie dialogue.Elijah Wood gives an unparallelled performance as Frodo Baggins. Frodo's gradual deterioration is wrenching to watch, and the climactic scene at Mount Doom displays just what the Ring can do to even the pure-hearted hobbit. Sean Astin follows up with his powerful performance as Sam, who is increasingly the ""strong"" hobbit, rather than the follower. The final scenes between these two outstanding actors are beautiful and understated.But all the supporting cast also give powerful performances -- Boyd and Dominic Monaghan put their characters through some intense growing pains, and the ""I'm going to take care of you"" scene is enough to bring tears to your eyes. Mortensen gets more kingly every moment, while Ian McKellen balances action with grandfatherly wisdom. Bernard Hill has a quietly moving final scene, while Miranda Otto makes the despairing Eowyn a strong, kick-butt heroine.Perhaps the most striking thing about ""Return of the King"" is the final fourth of the film. While the ""multiple endings"" may annoy some viewers, it seems somehow right to gently let go of these characters rather than have a sudden, splashy finale. And whether they have a happy or sad ending, Jackson never lets us forget that they all made sacrifices to battle Sauron.""Return of the King"" brings the epic ""Lord of the Rings"" trilogy to a close, and cements Jackson's reputation as a master filmmaker. With the outstanding cast, beautiful scripting and amazing direction, this is the best of the ""Lord"" films -- and that's saying something.
                
                    9 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"9"," A TRIUMPH, MASTERPIECE! The GREATEST Trilogy Ever Made? A Farewell Into The Crystal Sea.
","Destiny-1-12-15","22 March 2022","
            
            10/10
            
    ","
                Peter Jackson's ending to The Lord of The Rings. Is the most perfect ending to any trilogy ever in Hollywood history! From the first, second, third installment, every film packed a PERFECT 10 star rating!Acting/scenes/sounds/action/EVERYTHING. A complete upwards to 10 hours of complete PERFECTION and ART! In all of the trilogy.LOTR The Return of The King is a TRIUMPH, MASTERPIECE! With actors like Vingo Mortenson as Aragorn giving a standout performance! While Sean Astin as Sam. Is the true hero in this film as well! So much of the credit goes to Frodo. Yet? Sam is the true, brave, hobbit with his heroics, filled with courage, Sean Astin delivers an emotional performance and so does all actors on the lineup!Legolas riding the backs of elephants. To Gimili smashing heads with his axe. To Gandalf riding a white horse, clothe in full white, even with Merry and Pippen as dark horses in the race, proving to be important roles in the major events of middle Earth.LOTR The Return of The King is a SMASHING HIT! With an emotional, victory in the end!A emotional, thrill ride from start to finish!FOR FRODO!
                
                    6 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"10"," A Timeless Classic
","venividiamavi-v","7 August 2019","
            
            10/10
            
    ","
                This movie, and trilogy in general, is a cinematic (and literary) masterpiece, and simply refuses to get old. I love this movie so much it's become a tradition to watch the Lord of the Rings series at least once a year! It's just as good as Christmas
                
                    202 out of 208 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
